"Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.name","Disease.primaryIdentifier","Disease.genes.organism.name","Disease.dataSets.name"
"10133","OPTN","GLAUCOMA, PRIMARY OPEN ANGLE","OMIM:137760","Homo sapiens","OMIM diseases"
"10133","OPTN","GLAUCOMA, PRIMARY OPEN ANGLE","OMIM:137760","Homo sapiens","clinvar"
"10133","OPTN","GLAUCOMA, PRIMARY OPEN ANGLE","OMIM:137760","Homo sapiens","hpo-annotation"
"2064","ERBB2","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","OMIM diseases"
"2064","ERBB2","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","clinvar"
"2064","ERBB2","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","hpo-annotation"
"3417","IDH1","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","OMIM diseases"
"3417","IDH1","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","clinvar"
"3417","IDH1","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","hpo-annotation"
"7157","TP53","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","OMIM diseases"
"7157","TP53","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","clinvar"
"7157","TP53","GLIOMA SUSCEPTIBILITY 1","OMIM:137800","Homo sapiens","hpo-annotation"
"5728","PTEN","GLIOMA SUSCEPTIBILITY 2","OMIM:613028","Homo sapiens","OMIM diseases"
"5728","PTEN","GLIOMA SUSCEPTIBILITY 2","OMIM:613028","Homo sapiens","clinvar"
"675","BRCA2","GLIOMA SUSCEPTIBILITY 3","OMIM:613029","Homo sapiens","OMIM diseases"
"675","BRCA2","GLIOMA SUSCEPTIBILITY 3","OMIM:613029","Homo sapiens","hpo-annotation"
"25913","POT1","GLIOMA SUSCEPTIBILITY 9","OMIM:616568","Homo sapiens","OMIM diseases"
"25913","POT1","GLIOMA SUSCEPTIBILITY 9","OMIM:616568","Homo sapiens","clinvar"
"25913","POT1","GLIOMA SUSCEPTIBILITY 9","OMIM:616568","Homo sapiens","hpo-annotation"
"1523","CUX1","GLOBAL DEVELOPMENTAL DELAY WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT","OMIM:618330","Homo sapiens","OMIM diseases"
"1523","CUX1","GLOBAL DEVELOPMENTAL DELAY WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT","OMIM:618330","Homo sapiens","clinvar"
"1523","CUX1","GLOBAL DEVELOPMENTAL DELAY WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT","OMIM:618330","Homo sapiens","hpo-annotation"
"23112","TNRC6B","GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES","OMIM:619243","Homo sapiens","OMIM diseases"
"23112","TNRC6B","GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES","OMIM:619243","Homo sapiens","clinvar"
"7707","ZNF148","GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES","OMIM:617260","Homo sapiens","OMIM diseases"
"7707","ZNF148","GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES","OMIM:617260","Homo sapiens","clinvar"
"7707","ZNF148","GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES","OMIM:617260","Homo sapiens","hpo-annotation"
"23405","DICER1","GLOBAL DEVELOPMENTAL DELAY, LUNG CYSTS, OVERGROWTH, AND WILMS TUMOR","OMIM:618272","Homo sapiens","OMIM diseases"
"23405","DICER1","GLOBAL DEVELOPMENTAL DELAY, LUNG CYSTS, OVERGROWTH, AND WILMS TUMOR","OMIM:618272","Homo sapiens","clinvar"
"23405","DICER1","GLOBAL DEVELOPMENTAL DELAY, LUNG CYSTS, OVERGROWTH, AND WILMS TUMOR","OMIM:618272","Homo sapiens","hpo-annotation"
"2744","GLS","GLOBAL DEVELOPMENTAL DELAY, PROGRESSIVE ATAXIA, AND ELEVATED GLUTAMINE","OMIM:618412","Homo sapiens","OMIM diseases"
"2744","GLS","GLOBAL DEVELOPMENTAL DELAY, PROGRESSIVE ATAXIA, AND ELEVATED GLUTAMINE","OMIM:618412","Homo sapiens","clinvar"
"2744","GLS","GLOBAL DEVELOPMENTAL DELAY, PROGRESSIVE ATAXIA, AND ELEVATED GLUTAMINE","OMIM:618412","Homo sapiens","hpo-annotation"
"2335","FN1","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2","OMIM:601894","Homo sapiens","OMIM diseases"
"2335","FN1","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2","OMIM:601894","Homo sapiens","clinvar"
"2335","FN1","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2","OMIM:601894","Homo sapiens","hpo-annotation"
"11146","GLMN","GLOMUVENOUS MALFORMATIONS","OMIM:138000","Homo sapiens","OMIM diseases"
"11146","GLMN","GLOMUVENOUS MALFORMATIONS","OMIM:138000","Homo sapiens","clinvar"
"11146","GLMN","GLOMUVENOUS MALFORMATIONS","OMIM:138000","Homo sapiens","hpo-annotation"
"4158","MC2R","GLUCOCORTICOID DEFICIENCY 1","OMIM:202200","Homo sapiens","OMIM diseases"
"4158","MC2R","GLUCOCORTICOID DEFICIENCY 1","OMIM:202200","Homo sapiens","clinvar"
"4158","MC2R","GLUCOCORTICOID DEFICIENCY 1","OMIM:202200","Homo sapiens","hpo-annotation"
"56246","MRAP","GLUCOCORTICOID DEFICIENCY 2","OMIM:607398","Homo sapiens","OMIM diseases"
"56246","MRAP","GLUCOCORTICOID DEFICIENCY 2","OMIM:607398","Homo sapiens","clinvar"
"56246","MRAP","GLUCOCORTICOID DEFICIENCY 2","OMIM:607398","Homo sapiens","hpo-annotation"
"23530","NNT","GLUCOCORTICOID DEFICIENCY 4 WITH OR WITHOUT MINERALOCORTICOID DEFICIENCY","OMIM:614736","Homo sapiens","OMIM diseases"
"23530","NNT","GLUCOCORTICOID DEFICIENCY 4 WITH OR WITHOUT MINERALOCORTICOID DEFICIENCY","OMIM:614736","Homo sapiens","clinvar"
"23530","NNT","GLUCOCORTICOID DEFICIENCY 4 WITH OR WITHOUT MINERALOCORTICOID DEFICIENCY","OMIM:614736","Homo sapiens","hpo-annotation"
"10587","TXNRD2","GLUCOCORTICOID DEFICIENCY 5","OMIM:617825","Homo sapiens","OMIM diseases"
"10587","TXNRD2","GLUCOCORTICOID DEFICIENCY 5","OMIM:617825","Homo sapiens","clinvar"
"10587","TXNRD2","GLUCOCORTICOID DEFICIENCY 5","OMIM:617825","Homo sapiens","hpo-annotation"
"2908","NR3C1","GLUCOCORTICOID RESISTANCE, GENERALIZED","OMIM:615962","Homo sapiens","OMIM diseases"
"2908","NR3C1","GLUCOCORTICOID RESISTANCE, GENERALIZED","OMIM:615962","Homo sapiens","clinvar"
"2908","NR3C1","GLUCOCORTICOID RESISTANCE, GENERALIZED","OMIM:615962","Homo sapiens","hpo-annotation"
"113263","GLCCI1","GLUCOCORTICOID THERAPY, RESPONSE TO","OMIM:614400","Homo sapiens","OMIM diseases"
"113263","GLCCI1","GLUCOCORTICOID THERAPY, RESPONSE TO","OMIM:614400","Homo sapiens","clinvar"
"6523","SLC5A1","GLUCOSE/GALACTOSE MALABSORPTION","OMIM:606824","Homo sapiens","OMIM diseases"
"6523","SLC5A1","GLUCOSE/GALACTOSE MALABSORPTION","OMIM:606824","Homo sapiens","clinvar"
"6523","SLC5A1","GLUCOSE/GALACTOSE MALABSORPTION","OMIM:606824","Homo sapiens","hpo-annotation"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 1","OMIM:606777","Homo sapiens","OMIM diseases"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 1","OMIM:606777","Homo sapiens","clinvar"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 1","OMIM:606777","Homo sapiens","hpo-annotation"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 2","OMIM:612126","Homo sapiens","OMIM diseases"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 2","OMIM:612126","Homo sapiens","clinvar"
"6513","SLC2A1","GLUT1 DEFICIENCY SYNDROME 2","OMIM:612126","Homo sapiens","hpo-annotation"
"10841","FTCD","GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY","OMIM:229100","Homo sapiens","OMIM diseases"
"10841","FTCD","GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY","OMIM:229100","Homo sapiens","clinvar"
"10841","FTCD","GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY","OMIM:229100","Homo sapiens","hpo-annotation"
"2752","GLUL","GLUTAMINE DEFICIENCY, CONGENITAL","OMIM:610015","Homo sapiens","OMIM diseases"
"2752","GLUL","GLUTAMINE DEFICIENCY, CONGENITAL","OMIM:610015","Homo sapiens","clinvar"
"2752","GLUL","GLUTAMINE DEFICIENCY, CONGENITAL","OMIM:610015","Homo sapiens","hpo-annotation"
"2639","GCDH","GLUTARIC ACIDEMIA I","OMIM:231670","Homo sapiens","OMIM diseases"
"2639","GCDH","GLUTARIC ACIDEMIA I","OMIM:231670","Homo sapiens","clinvar"
"2639","GCDH","GLUTARIC ACIDEMIA I","OMIM:231670","Homo sapiens","hpo-annotation"
"79783","SUGCT","GLUTARIC ACIDURIA III","OMIM:231690","Homo sapiens","OMIM diseases"
"79783","SUGCT","GLUTARIC ACIDURIA III","OMIM:231690","Homo sapiens","clinvar"
"79783","SUGCT","GLUTARIC ACIDURIA III","OMIM:231690","Homo sapiens","hpo-annotation"
"2876","GPX1","GLUTATHIONE PEROXIDASE DEFICIENCY","OMIM:614164","Homo sapiens","OMIM diseases"
"2876","GPX1","GLUTATHIONE PEROXIDASE DEFICIENCY","OMIM:614164","Homo sapiens","hpo-annotation"
"2937","GSS","GLUTATHIONE SYNTHETASE DEFICIENCY","OMIM:266130","Homo sapiens","OMIM diseases"
"2937","GSS","GLUTATHIONE SYNTHETASE DEFICIENCY","OMIM:266130","Homo sapiens","hpo-annotation"
"2937","GSS","GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO","OMIM:231900","Homo sapiens","OMIM diseases"
"2937","GSS","GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO","OMIM:231900","Homo sapiens","clinvar"
"2937","GSS","GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO","OMIM:231900","Homo sapiens","hpo-annotation"
"2678","GGT1","GLUTATHIONURIA","OMIM:231950","Homo sapiens","OMIM diseases"
"2678","GGT1","GLUTATHIONURIA","OMIM:231950","Homo sapiens","clinvar"
"2678","GGT1","GLUTATHIONURIA","OMIM:231950","Homo sapiens","hpo-annotation"
"2710","GK","GLYCEROL KINASE DEFICIENCY","OMIM:307030","Homo sapiens","OMIM diseases"
"2710","GK","GLYCEROL KINASE DEFICIENCY","OMIM:307030","Homo sapiens","clinvar"
"2710","GK","GLYCEROL KINASE DEFICIENCY","OMIM:307030","Homo sapiens","hpo-annotation"
"364","AQP7","GLYCEROL QUANTITATIVE TRAIT LOCUS","OMIM:614411","Homo sapiens","OMIM diseases"
"364","AQP7","GLYCEROL QUANTITATIVE TRAIT LOCUS","OMIM:614411","Homo sapiens","clinvar"
"364","AQP7","GLYCEROL QUANTITATIVE TRAIT LOCUS","OMIM:614411","Homo sapiens","hpo-annotation"
"2653","GCSH","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","OMIM diseases"
"2653","GCSH","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","clinvar"
"2653","GCSH","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","hpo-annotation"
"2731","GLDC","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","OMIM diseases"
"2731","GLDC","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","clinvar"
"2731","GLDC","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","hpo-annotation"
"275","AMT","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","OMIM diseases"
"275","AMT","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","clinvar"
"275","AMT","GLYCINE ENCEPHALOPATHY","OMIM:605899","Homo sapiens","hpo-annotation"
"6536","SLC6A9","GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE","OMIM:617301","Homo sapiens","OMIM diseases"
"6536","SLC6A9","GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE","OMIM:617301","Homo sapiens","clinvar"
"6536","SLC6A9","GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE","OMIM:617301","Homo sapiens","hpo-annotation"
"27232","GNMT","GLYCINE N-METHYLTRANSFERASE DEFICIENCY","OMIM:606664","Homo sapiens","OMIM diseases"
"27232","GNMT","GLYCINE N-METHYLTRANSFERASE DEFICIENCY","OMIM:606664","Homo sapiens","clinvar"
"27232","GNMT","GLYCINE N-METHYLTRANSFERASE DEFICIENCY","OMIM:606664","Homo sapiens","hpo-annotation"
"2998","GYS2","GLYCOGEN STORAGE DISEASE 0, LIVER","OMIM:240600","Homo sapiens","OMIM diseases"
"2998","GYS2","GLYCOGEN STORAGE DISEASE 0, LIVER","OMIM:240600","Homo sapiens","clinvar"
"2998","GYS2","GLYCOGEN STORAGE DISEASE 0, LIVER","OMIM:240600","Homo sapiens","hpo-annotation"
"2997","GYS1","GLYCOGEN STORAGE DISEASE 0, MUSCLE","OMIM:611556","Homo sapiens","OMIM diseases"
"2997","GYS1","GLYCOGEN STORAGE DISEASE 0, MUSCLE","OMIM:611556","Homo sapiens","clinvar"
"2997","GYS1","GLYCOGEN STORAGE DISEASE 0, MUSCLE","OMIM:611556","Homo sapiens","hpo-annotation"
"2548","GAA","GLYCOGEN STORAGE DISEASE II","OMIM:232300","Homo sapiens","OMIM diseases"
"2548","GAA","GLYCOGEN STORAGE DISEASE II","OMIM:232300","Homo sapiens","clinvar"
"2548","GAA","GLYCOGEN STORAGE DISEASE II","OMIM:232300","Homo sapiens","hpo-annotation"
"178","AGL","GLYCOGEN STORAGE DISEASE III","OMIM:232400","Homo sapiens","OMIM diseases"
"178","AGL","GLYCOGEN STORAGE DISEASE III","OMIM:232400","Homo sapiens","clinvar"
"178","AGL","GLYCOGEN STORAGE DISEASE III","OMIM:232400","Homo sapiens","hpo-annotation"
"2632","GBE1","GLYCOGEN STORAGE DISEASE IV","OMIM:232500","Homo sapiens","OMIM diseases"
"2632","GBE1","GLYCOGEN STORAGE DISEASE IV","OMIM:232500","Homo sapiens","clinvar"
"2632","GBE1","GLYCOGEN STORAGE DISEASE IV","OMIM:232500","Homo sapiens","hpo-annotation"
"5256","PHKA2","GLYCOGEN STORAGE DISEASE IXa1","OMIM:306000","Homo sapiens","OMIM diseases"
"5256","PHKA2","GLYCOGEN STORAGE DISEASE IXa1","OMIM:306000","Homo sapiens","clinvar"
"5256","PHKA2","GLYCOGEN STORAGE DISEASE IXa1","OMIM:306000","Homo sapiens","hpo-annotation"
"5257","PHKB","GLYCOGEN STORAGE DISEASE IXb","OMIM:261750","Homo sapiens","OMIM diseases"
"5257","PHKB","GLYCOGEN STORAGE DISEASE IXb","OMIM:261750","Homo sapiens","clinvar"
"5257","PHKB","GLYCOGEN STORAGE DISEASE IXb","OMIM:261750","Homo sapiens","hpo-annotation"
"5261","PHKG2","GLYCOGEN STORAGE DISEASE IXc","OMIM:613027","Homo sapiens","OMIM diseases"
"5261","PHKG2","GLYCOGEN STORAGE DISEASE IXc","OMIM:613027","Homo sapiens","clinvar"
"5261","PHKG2","GLYCOGEN STORAGE DISEASE IXc","OMIM:613027","Homo sapiens","hpo-annotation"
"2538","G6PC1","GLYCOGEN STORAGE DISEASE Ia","OMIM:232200","Homo sapiens","OMIM diseases"
"2538","G6PC1","GLYCOGEN STORAGE DISEASE Ia","OMIM:232200","Homo sapiens","clinvar"
"2538","G6PC1","GLYCOGEN STORAGE DISEASE Ia","OMIM:232200","Homo sapiens","hpo-annotation"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ib","OMIM:232220","Homo sapiens","OMIM diseases"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ib","OMIM:232220","Homo sapiens","clinvar"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ib","OMIM:232220","Homo sapiens","hpo-annotation"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ic","OMIM:232240","Homo sapiens","OMIM diseases"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ic","OMIM:232240","Homo sapiens","clinvar"
"2542","SLC37A4","GLYCOGEN STORAGE DISEASE Ic","OMIM:232240","Homo sapiens","hpo-annotation"
"51422","PRKAG2","GLYCOGEN STORAGE DISEASE OF HEART, LETHAL CONGENITAL","OMIM:261740","Homo sapiens","OMIM diseases"
"51422","PRKAG2","GLYCOGEN STORAGE DISEASE OF HEART, LETHAL CONGENITAL","OMIM:261740","Homo sapiens","clinvar"
"51422","PRKAG2","GLYCOGEN STORAGE DISEASE OF HEART, LETHAL CONGENITAL","OMIM:261740","Homo sapiens","hpo-annotation"
"5837","PYGM","GLYCOGEN STORAGE DISEASE V","OMIM:232600","Homo sapiens","OMIM diseases"
"5837","PYGM","GLYCOGEN STORAGE DISEASE V","OMIM:232600","Homo sapiens","clinvar"
"5837","PYGM","GLYCOGEN STORAGE DISEASE V","OMIM:232600","Homo sapiens","hpo-annotation"
"5836","PYGL","GLYCOGEN STORAGE DISEASE VI","OMIM:232700","Homo sapiens","OMIM diseases"
"5836","PYGL","GLYCOGEN STORAGE DISEASE VI","OMIM:232700","Homo sapiens","clinvar"
"5836","PYGL","GLYCOGEN STORAGE DISEASE VI","OMIM:232700","Homo sapiens","hpo-annotation"
"5213","PFKM","GLYCOGEN STORAGE DISEASE VII","OMIM:232800","Homo sapiens","OMIM diseases"
"5213","PFKM","GLYCOGEN STORAGE DISEASE VII","OMIM:232800","Homo sapiens","clinvar"
"5213","PFKM","GLYCOGEN STORAGE DISEASE VII","OMIM:232800","Homo sapiens","hpo-annotation"
"5224","PGAM2","GLYCOGEN STORAGE DISEASE X","OMIM:261670","Homo sapiens","OMIM diseases"
"5224","PGAM2","GLYCOGEN STORAGE DISEASE X","OMIM:261670","Homo sapiens","clinvar"
"5224","PGAM2","GLYCOGEN STORAGE DISEASE X","OMIM:261670","Homo sapiens","hpo-annotation"
"3939","LDHA","GLYCOGEN STORAGE DISEASE XI","OMIM:612933","Homo sapiens","OMIM diseases"
"3939","LDHA","GLYCOGEN STORAGE DISEASE XI","OMIM:612933","Homo sapiens","clinvar"
"3939","LDHA","GLYCOGEN STORAGE DISEASE XI","OMIM:612933","Homo sapiens","hpo-annotation"
"226","ALDOA","GLYCOGEN STORAGE DISEASE XII","OMIM:611881","Homo sapiens","OMIM diseases"
"226","ALDOA","GLYCOGEN STORAGE DISEASE XII","OMIM:611881","Homo sapiens","clinvar"
"226","ALDOA","GLYCOGEN STORAGE DISEASE XII","OMIM:611881","Homo sapiens","hpo-annotation"
"2027","ENO3","GLYCOGEN STORAGE DISEASE XIII","OMIM:612932","Homo sapiens","OMIM diseases"
"2027","ENO3","GLYCOGEN STORAGE DISEASE XIII","OMIM:612932","Homo sapiens","clinvar"
"2027","ENO3","GLYCOGEN STORAGE DISEASE XIII","OMIM:612932","Homo sapiens","hpo-annotation"
"2992","GYG1","GLYCOGEN STORAGE DISEASE XV","OMIM:613507","Homo sapiens","OMIM diseases"
"2992","GYG1","GLYCOGEN STORAGE DISEASE XV","OMIM:613507","Homo sapiens","clinvar"
"2992","GYG1","GLYCOGEN STORAGE DISEASE XV","OMIM:613507","Homo sapiens","hpo-annotation"
"5255","PHKA1","GLYCOGEN STORAGE DISEASE, TYPE IXd","OMIM:300559","Homo sapiens","OMIM diseases"
"5255","PHKA1","GLYCOGEN STORAGE DISEASE, TYPE IXd","OMIM:300559","Homo sapiens","clinvar"
"5255","PHKA1","GLYCOGEN STORAGE DISEASE, TYPE IXd","OMIM:300559","Homo sapiens","hpo-annotation"
"93183","PIGM","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 1","OMIM:610293","Homo sapiens","OMIM diseases"
"93183","PIGM","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 1","OMIM:610293","Homo sapiens","clinvar"
"93183","PIGM","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 1","OMIM:610293","Homo sapiens","hpo-annotation"
"284098","PIGW","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 11","OMIM:616025","Homo sapiens","OMIM diseases"
"284098","PIGW","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 11","OMIM:616025","Homo sapiens","clinvar"
"284098","PIGW","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 11","OMIM:616025","Homo sapiens","hpo-annotation"
"8733","GPAA1","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 15","OMIM:617810","Homo sapiens","OMIM diseases"
"8733","GPAA1","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 15","OMIM:617810","Homo sapiens","clinvar"
"8733","GPAA1","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 15","OMIM:617810","Homo sapiens","hpo-annotation"
"5279","PIGC","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 16","OMIM:617816","Homo sapiens","OMIM diseases"
"5279","PIGC","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 16","OMIM:617816","Homo sapiens","clinvar"
"5279","PIGC","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 16","OMIM:617816","Homo sapiens","hpo-annotation"
"5283","PIGH","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17","OMIM:618010","Homo sapiens","OMIM diseases"
"5283","PIGH","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17","OMIM:618010","Homo sapiens","clinvar"
"5283","PIGH","GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17","OMIM:618010","Homo sapiens","hpo-annotation"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE I","OMIM:230500","Homo sapiens","OMIM diseases"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE I","OMIM:230500","Homo sapiens","clinvar"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE I","OMIM:230500","Homo sapiens","hpo-annotation"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE II","OMIM:230600","Homo sapiens","OMIM diseases"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE II","OMIM:230600","Homo sapiens","clinvar"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE II","OMIM:230600","Homo sapiens","hpo-annotation"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE III","OMIM:230650","Homo sapiens","OMIM diseases"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE III","OMIM:230650","Homo sapiens","clinvar"
"2720","GLB1","GM1-GANGLIOSIDOSIS, TYPE III","OMIM:230650","Homo sapiens","hpo-annotation"
"2760","GM2A","GM2-GANGLIOSIDOSIS, AB VARIANT","OMIM:272750","Homo sapiens","OMIM diseases"
"2760","GM2A","GM2-GANGLIOSIDOSIS, AB VARIANT","OMIM:272750","Homo sapiens","clinvar"
"2760","GM2A","GM2-GANGLIOSIDOSIS, AB VARIANT","OMIM:272750","Homo sapiens","hpo-annotation"
"203859","ANO5","GNATHODIAPHYSEAL DYSPLASIA","OMIM:166260","Homo sapiens","OMIM diseases"
"203859","ANO5","GNATHODIAPHYSEAL DYSPLASIA","OMIM:166260","Homo sapiens","clinvar"
"203859","ANO5","GNATHODIAPHYSEAL DYSPLASIA","OMIM:166260","Homo sapiens","hpo-annotation"
"23405","DICER1","GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS","OMIM:138800","Homo sapiens","OMIM diseases"
"23405","DICER1","GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS","OMIM:138800","Homo sapiens","clinvar"
"23405","DICER1","GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS","OMIM:138800","Homo sapiens","hpo-annotation"
"26128","KIFBP","GOLDBERG-SHPRINTZEN SYNDROME","OMIM:609460","Homo sapiens","OMIM diseases"
"26128","KIFBP","GOLDBERG-SHPRINTZEN SYNDROME","OMIM:609460","Homo sapiens","clinvar"
"26128","KIFBP","GOLDBERG-SHPRINTZEN SYNDROME","OMIM:609460","Homo sapiens","hpo-annotation"
"55012","PPP2R3C","GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY","OMIM:618419","Homo sapiens","OMIM diseases"
"55012","PPP2R3C","GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY","OMIM:618419","Homo sapiens","hpo-annotation"
"54476","RNF216","GORDON HOLMES SYNDROME","OMIM:212840","Homo sapiens","OMIM diseases"
"54476","RNF216","GORDON HOLMES SYNDROME","OMIM:212840","Homo sapiens","clinvar"
"54476","RNF216","GORDON HOLMES SYNDROME","OMIM:212840","Homo sapiens","hpo-annotation"
"63901","FAM111A","GRACILE BONE DYSPLASIA","OMIM:602361","Homo sapiens","OMIM diseases"
"63901","FAM111A","GRACILE BONE DYSPLASIA","OMIM:602361","Homo sapiens","clinvar"
"63901","FAM111A","GRACILE BONE DYSPLASIA","OMIM:602361","Homo sapiens","hpo-annotation"
"617","BCS1L","GRACILE SYNDROME","OMIM:603358","Homo sapiens","OMIM diseases"
"617","BCS1L","GRACILE SYNDROME","OMIM:603358","Homo sapiens","clinvar"
"617","BCS1L","GRACILE SYNDROME","OMIM:603358","Homo sapiens","hpo-annotation"
"3586","IL10","GRAFT-VERSUS-HOST DISEASE, SUSCEPTIBILITY TO","OMIM:614395","Homo sapiens","OMIM diseases"
"55249","YY1AP1","GRANGE SYNDROME","OMIM:602531","Homo sapiens","OMIM diseases"
"55249","YY1AP1","GRANGE SYNDROME","OMIM:602531","Homo sapiens","clinvar"
"55249","YY1AP1","GRANGE SYNDROME","OMIM:602531","Homo sapiens","hpo-annotation"
"653361","NCF1","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 1","OMIM:233700","Homo sapiens","OMIM diseases"
"653361","NCF1","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 1","OMIM:233700","Homo sapiens","clinvar"
"653361","NCF1","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 1","OMIM:233700","Homo sapiens","hpo-annotation"
"4688","NCF2","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 2","OMIM:233710","Homo sapiens","OMIM diseases"
"4688","NCF2","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 2","OMIM:233710","Homo sapiens","clinvar"
