Protein Accession,Transcript Accession
NP_611191.1,NM_137347.3
NP_001286519.1,NM_001299590.1
NP_611192.1,NM_137348.4
NP_001369094.1,NM_001382129.1
NP_001036554.1,NM_001043089.3
NP_001286520.1,NM_001299591.1
NP_611193.1,NM_137349.3
NP_611194.1,NM_137350.4
NP_001286521.1,NM_001299592.1
NP_611195.1,NM_137351.3
NP_001246385.1,NM_001259456.2
NP_001246386.1,NM_001259457.2
NP_001286522.1,NM_001299593.1
NP_611196.2,NM_137352.4
NP_611197.1,NM_137353.2
NP_725663.1,NM_166220.3
NP_611198.1,NM_137354.2
NP_001261042.1,NM_001274113.1
NP_611199.1,NM_137355.2
NP_001334725.1,NM_001347773.1
NP_611200.2,NM_137356.2
NP_001246387.1,NM_001259458.1
NP_001261044.1,NM_001274115.1
NP_001401011.1,NM_001414081.1
NP_788390.1,NM_176210.2
NP_001261043.1,NM_001274114.1
NP_001137689.2,NM_001144217.2
NP_001261046.1,NM_001274117.1
NP_001261048.1,NM_001274119.1
NP_001261047.1,NM_001274118.1
NP_001246393.1,NM_001259464.2
NP_001137688.2,NM_001144216.3
NP_001246391.1,NM_001259462.2
NP_001246395.1,NM_001259466.2
NP_788391.1,NM_176211.2
NP_788392.1,NM_176212.2
NP_001401015.1,NM_001414085.1
NP_001401013.1,NM_001414083.1
NP_001401014.1,NM_001414084.1
NP_001401012.1,NM_001414082.1
NP_611201.2,NM_137357.4
NP_611202.1,NM_137358.3
NP_001246388.2,NM_001259459.1
NP_001246389.2,NM_001259460.2
NP_001246390.1,NM_001259461.1
NP_524712.1,NM_079973.3
NP_611204.2,NM_137360.2
NP_001286523.1,NM_001299594.1
NP_611205.1,NM_137361.4
NP_725669.1,NM_166221.4
NP_477202.2,NM_057854.4
NP_001286524.1,NM_001299595.1
NP_725671.1,NM_166223.2
NP_725672.2,NM_166224.3
NP_725673.2,NM_166225.3
NP_611206.3,NM_137362.4
NP_725674.2,NM_166226.3
NP_611207.1,NM_137363.4
NP_001286525.1,NM_001299596.1
NP_611208.1,NM_137364.4
NP_001261049.1,NM_001274120.2
NP_611209.1,NM_137365.4
NP_611210.3,NM_137366.4
NP_523770.2,NM_079046.3
NP_995873.2,NM_206151.2
NP_611211.3,NM_137367.3
NP_788394.1,NM_176214.3
NP_663308.1,NM_145335.3
NP_001286526.1,NM_001299597.1
NP_001286527.1,NM_001299598.1
NP_611213.2,NM_137369.4
NP_001286528.1,NM_001299599.1
NP_001097356.1,NM_001103886.2
NP_523771.1,NM_079047.4
NP_001286530.1,NM_001299601.1
NP_725678.1,NM_166229.3
NP_001286529.1,NM_001299600.1
NP_611214.1,NM_137370.3
NP_611215.1,NM_137371.4
NP_001261050.1,NM_001274121.1
NP_725680.2,NM_166231.3
NP_725679.1,NM_166230.3
NP_523772.1,NM_079048.4
NP_001286531.1,NM_001299602.1
NP_611216.1,NM_137372.4
NP_001286532.1,NM_001299603.1
NP_001246396.1,NM_001259467.2
NP_001286533.1,NM_001299604.1
NP_611217.1,NM_137373.3
NP_611218.1,NM_137374.3
NP_725681.1,NM_166232.2
NP_725682.2,NM_166233.4
NP_001027435.2,NM_001032264.4
NP_001027437.1,NM_001032266.4
NP_001188963.1,NM_001202034.3
NP_001027436.2,NM_001032265.4
NP_001246397.1,NM_001259468.2
NP_001286534.1,NM_001299605.1
NP_001097357.1,NM_001103887.3
NP_611221.1,NM_137377.3
NP_725686.1,NM_166235.2
NP_725688.1,NM_166237.2
NP_995874.1,NM_206152.2
NP_611222.2,NM_137378.4
NP_725689.2,NM_166238.4
NP_001286535.1,NM_001299606.1
NP_611223.4,NM_137379.5
NP_611224.1,NM_137380.3
NP_001261056.1,NM_001274127.1
NP_001137690.1,NM_001144218.3
NP_001261054.1,NM_001274125.1
NP_995875.1,NM_206153.3
NP_001137691.1,NM_001144219.3
NP_001261051.1,NM_001274122.1
NP_001163177.2,NM_001169706.2
NP_001163175.1,NM_001169704.2
NP_001261055.1,NM_001274126.1
NP_001261053.1,NM_001274124.1
NP_001261052.1,NM_001274123.1
NP_995876.1,NM_206154.3
NP_788398.1,NM_176218.3
NP_611228.1,NM_137384.3
NP_725691.1,NM_166239.4
NP_611229.2,NM_137385.2
NP_001286536.1,NM_001299607.1
NP_001097358.1,NM_001103888.3
NP_523773.1,NM_079049.4
NP_523774.1,NM_079050.3
NP_001097359.1,NM_001103889.2
NP_001286537.1,NM_001299608.1
NP_523775.2,NM_079051.4
NP_001286538.1,NM_001299609.1
NP_001303354.1,NM_001316425.1
NP_001303355.1,NM_001316426.1
NP_524883.2,NM_080144.3
NP_001246398.1,NM_001259469.2
NP_001286539.1,NM_001299610.1
NP_001246399.1,NM_001259470.2
NP_611231.1,NM_137387.2
NP_001246400.1,NM_001259471.2
NP_001369096.1,NM_001382144.1
NP_001369095.1,NM_001382143.1
NP_611232.1,NM_137388.4
NP_523776.1,NM_079052.4
NP_001261057.1,NM_001274128.2
NP_611233.1,NM_137389.4
NP_001137692.1,NM_001144220.3
NP_725696.1,NM_166240.3
NP_523777.1,NM_079053.4
NP_001286540.1,NM_001299611.1
NP_523778.2,NM_079054.5
NP_611234.1,NM_137390.4
NP_001286541.1,NM_001299612.1
NP_001261059.1,NM_001274130.2
NP_611235.1,NM_137391.4
NP_611236.2,NM_137392.3
NP_001261060.1,NM_001274131.2
NP_611237.2,NM_137393.4
NP_725699.1,NM_166241.3
NP_001261061.1,NM_001274132.1
NP_523779.1,NM_079055.3
NP_611238.2,NM_137394.2
NP_001286542.1,NM_001299613.1
NP_001286543.1,NM_001299614.1
NP_001188964.1,NM_001202035.2
NP_611239.1,NM_137395.2
NP_001286544.1,NM_001299615.1
NP_536794.1,NM_080533.4
NP_611240.1,NM_137396.3
NP_611241.2,NM_137397.3
NP_001286545.1,NM_001299616.1
NP_611242.1,NM_137398.2
NP_725705.2,NM_166243.3
NP_725706.1,NM_166244.3
NP_001369097.1,NM_001382122.1
NP_611243.1,NM_137399.4
NP_611244.1,NM_137400.4
NP_995879.1,NM_206157.2
NP_001163178.1,NM_001169707.2
NP_725707.1,NM_166245.2
NP_611246.1,NM_137402.4
NP_001163180.1,NM_001169709.2
NP_611245.2,NM_137401.3
NP_611247.3,NM_137403.4
NP_611248.3,NM_137404.5
NP_001334727.1,NM_001347794.1
NP_001334726.1,NM_001347793.1
NP_725709.1,NM_166246.3
NP_001286546.1,NM_001299617.1
NP_611249.2,NM_137405.4
NP_001163181.1,NM_001169710.2
NP_611250.1,NM_137406.3
NP_611251.2,NM_137407.3
NP_611252.1,NM_137408.4
NP_001137693.2,NM_001144221.3
NP_001137694.1,NM_001144222.2
NP_001163183.1,NM_001169712.2
NP_001137695.1,NM_001144223.3
NP_001163182.1,NM_001169711.2
NP_611254.2,NM_137410.4
NP_001097360.1,NM_001103890.3
NP_725714.1,NM_166247.3
NP_611256.1,NM_137412.4
NP_001286547.1,NM_001299618.1
NP_611257.1,NM_137413.2
NP_611258.2,NM_137414.3
NP_611259.2,NM_137415.3
NP_611260.1,NM_137416.3
NP_001286548.1,NM_001299619.1
NP_611261.1,NM_137417.3
NP_611262.1,NM_137418.3
NP_611263.1,NM_137419.3
NP_477302.1,NM_057954.3
NP_611264.2,NM_137420.3
NP_001286549.1,NM_001299620.1
NP_611265.1,NM_137421.3
NP_611266.2,NM_137422.3
NP_611267.1,NM_137423.2
NP_611268.1,NM_137424.1
NP_611269.1,NM_137425.4
NP_995880.1,NM_206158.3
NP_001033955.1,NM_001038866.3
NP_001261062.1,NM_001274133.2
NP_001033954.1,NM_001038865.3
NP_477413.1,NM_058065.3
NP_477414.1,NM_058066.4
NP_611270.1,NM_137426.4
NP_001286550.1,NM_001299621.1
NP_611271.3,NM_137427.4
NP_001286551.1,NM_001299622.1
NP_476845.2,NM_057497.4
NP_476844.2,NM_057496.5
NP_476842.2,NM_057494.4
NP_476843.2,NM_057495.4
NP_725723.2,NM_166250.4
NP_001246401.1,NM_001259472.1
NP_725725.1,NM_166252.3
NP_611273.1,NM_137429.3
NP_995881.2,NM_206159.2
NP_001261063.1,NM_001274134.1
NP_725727.1,NM_170626.2
NP_001137696.1,NM_001144224.2
NP_611272.1,NM_137428.3
NP_725729.2,NM_166256.3
NP_001261064.1,NM_001274135.1
NP_611274.1,NM_137430.2
NP_001286552.1,NM_001299623.1
NP_725731.2,NM_166257.2
NP_523780.1,NM_079056.4
NP_725732.1,NM_166258.3
NP_001163184.1,NM_001169713.2
NP_001097361.1,NM_001103891.3
NP_001286553.1,NM_001299624.1
NP_477009.1,NM_057661.3
NP_725733.1,NM_166259.2
NP_725734.1,NM_166260.2
NP_476812.1,NM_057464.4
NP_611275.2,NM_137431.2
NP_611276.1,NM_137432.1
NP_476689.1,NM_057341.4
NP_001286554.1,NM_001299625.1
NP_001033956.2,NM_001038867.4
NP_001286555.1,NM_001299626.1
NP_001286556.1,NM_001299627.1
NP_611279.1,NM_137435.3
NP_611280.2,NM_137436.3
NP_001286558.1,NM_001299629.1
NP_611281.1,NM_137437.3
NP_001286557.1,NM_001299628.1
NP_611282.1,NM_137438.3
NP_611283.1,NM_137439.3
NP_001033957.2,NM_001038868.3
NP_001286559.1,NM_001299630.1
NP_611284.2,NM_137440.3
NP_001286560.2,NM_001299631.1
NP_001286561.1,NM_001299632.1
NP_611285.2,NM_137441.3
NP_611286.1,NM_137442.2
NP_611287.1,NM_137443.3
NP_611289.2,NM_137445.2
NP_001097362.1,NM_001103892.2
NP_001261065.1,NM_001274136.1
NP_611290.3,NM_137446.4
NP_611291.1,NM_137447.4
NP_001097363.1,NM_001103893.2
NP_001261066.1,NM_001274137.1
NP_001303356.1,NM_001316427.1
NP_725747.1,NM_166262.3
NP_611292.2,NM_137448.4
NP_001097364.1,NM_001103894.2
NP_476751.1,NM_057403.4
NP_725748.1,NM_166263.2
NP_001163185.1,NM_001169714.2
NP_524953.1,NM_080214.4
NP_525003.2,NM_080264.4
NP_476575.1,NM_057227.5
NP_001036557.1,NM_001043092.3
NP_001036555.1,NM_001043090.3
NP_001036556.1,NM_001043091.3
NP_001261067.1,NM_001274138.2
NP_476672.1,NM_057324.6
NP_725750.1,NM_166265.2
NP_476667.1,NM_057319.5
NP_725749.1,NM_166264.4
NP_611294.1,NM_137450.2
NP_001261068.1,NM_001274139.2
NP_611295.1,NM_137451.4
NP_001261069.1,NM_001274140.2
NP_611296.2,NM_137452.3
NP_001286563.1,NM_001299634.1
NP_524778.1,NM_080039.4
NP_001246402.1,NM_001259473.2
NP_725756.1,NM_166270.2
NP_725757.1,NM_166271.3
NP_001286564.1,NM_001299635.1
NP_725758.1,NM_166272.3
NP_001246403.1,NM_001259474.2
NP_001163186.1,NM_001169715.2
NP_611297.3,NM_137453.3
NP_001286565.1,NM_001299636.1
NP_611299.2,NM_137455.5
NP_611300.2,NM_137456.3
NP_001163188.1,NM_001169717.1
NP_001163187.1,NM_001169716.2
NP_788400.1,NM_176220.2
NP_611302.1,NM_137458.3
NP_725760.1,NM_166274.2
NP_001261070.1,NM_001274141.2
NP_611303.1,NM_137459.3
NP_611304.1,NM_137460.3
NP_001261071.1,NM_001274142.1
NP_611305.1,NM_137461.4
NP_611306.1,NM_137462.4
NP_001033958.1,NM_001038869.3
NP_001261072.4,NM_001274143.2
NP_611309.1,NM_137465.2
NP_725765.1,NM_166275.2
NP_001356964.1,NM_001370035.1
NP_477483.1,NM_058135.4
NP_476664.2,NM_057316.5
NP_001286566.1,NM_001299637.1
NP_788401.2,NM_176221.4
NP_001163191.1,NM_001169720.2
NP_001163189.1,NM_001169718.3
NP_001261074.1,NM_001274145.1
NP_524678.3,NM_079939.5
NP_995883.1,NM_206161.3
NP_001163190.1,NM_001169719.2
NP_995884.1,NM_206162.4
NP_001163192.1,NM_001169721.2
NP_725766.1,NM_166276.2
NP_611311.1,NM_137467.3
NP_001286567.1,NM_001299638.1
NP_611312.1,NM_137468.2
NP_611313.1,NM_137469.2
NP_611314.2,NM_137470.2
NP_001286568.1,NM_001299639.1
NP_611315.3,NM_137471.4
NP_611316.2,NM_137472.2
NP_001036558.1,NM_001043093.2
NP_001246404.1,NM_001259475.1
NP_652369.1,NM_144112.1
NP_001246405.1,NM_001259476.2
NP_611318.2,NM_137474.5
NP_611319.1,NM_137475.3
NP_663309.1,NM_145336.3
NP_611320.2,NM_137476.4
NP_001163193.1,NM_001169722.2
NP_725776.1,NM_166277.3
NP_001286569.1,NM_001299640.1
NP_652368.1,NM_144111.3
NP_652367.1,NM_144110.2
NP_652366.1,NM_144109.2
NP_788402.1,NM_176222.2
NP_611321.3,NM_137477.4
NP_001286570.1,NM_001299641.1
NP_611322.1,NM_137478.2
NP_611323.1,NM_137479.3
NP_611324.1,NM_137480.4
NP_611325.2,NM_137481.4
NP_611326.1,NM_137482.4
NP_611327.1,NM_137483.3
NP_611328.1,NM_137484.4
NP_611329.1,NM_137485.4
NP_001286571.1,NM_001299642.1
NP_611330.2,NM_137486.5
NP_725784.1,NM_166279.3
NP_001286572.1,NM_001299643.1
NP_573394.1,NM_133166.4
NP_995885.1,NM_206163.2
NP_725785.1,NM_166280.2
NP_995886.1,NM_206164.2
NP_725787.1,NM_166282.2
NP_725786.1,NM_166281.2
NP_001286573.1,NM_001299644.1
NP_523781.2,NM_079057.3
NP_725790.2,NM_166285.5
NP_001246406.1,NM_001259477.2
NP_611331.2,NM_137487.6
NP_725788.1,NM_166283.3
NP_725791.1,NM_166286.5
NP_725789.1,NM_166284.3
NP_001163194.1,NM_001169723.2
NP_001246407.1,NM_001259478.2
NP_725793.1,NM_166288.5
NP_001286574.1,NM_001299645.1
NP_611332.1,NM_137488.3
NP_001097366.1,NM_001103896.2
NP_001097365.1,NM_001103895.2
NP_611333.1,NM_137489.4
NP_523782.1,NM_079058.3
NP_725794.2,NM_166289.2
NP_725795.2,NM_166290.3
NP_001137699.1,NM_001144227.2
NP_611334.1,NM_137490.3
NP_523783.1,NM_079059.3
NP_611335.1,NM_137491.4
NP_611336.1,NM_137492.2
NP_611337.2,NM_137493.3
NP_611338.1,NM_137494.2
NP_725798.1,NM_166291.2
NP_725799.1,NM_166292.2
NP_001286575.1,NM_001299646.1
NP_611339.1,NM_137495.3
NP_001246408.1,NM_001259479.2
NP_611340.1,NM_137496.3
NP_611341.1,NM_137497.3
NP_001097367.1,NM_001103897.2
NP_001286576.1,NM_001299647.1
NP_523784.2,NM_079060.3
NP_611342.1,NM_137498.3
NP_001286577.1,NM_001299648.1
NP_788403.2,NM_176223.4
NP_001261075.1,NM_001274146.2
NP_611343.4,NM_137499.3
NP_001188967.1,NM_001202038.2
NP_611345.1,NM_137501.3
NP_523785.2,NM_079061.4
NP_611346.1,NM_137502.5
NP_725807.1,NM_166297.2
NP_001246409.1,NM_001259480.2
NP_001246411.1,NM_001259482.2
NP_001246410.1,NM_001259481.2
NP_611348.1,NM_137504.3
NP_725809.1,NM_166298.3
NP_611350.1,NM_137506.4
NP_611349.2,NM_137505.4
NP_611351.1,NM_137507.5
NP_001286578.1,NM_001299649.1
NP_611352.1,NM_137508.4
NP_001286580.1,NM_001299651.1
NP_001286581.1,NM_001299652.1
NP_611353.1,NM_137509.4
NP_001286579.1,NM_001299650.1
NP_611354.2,NM_137510.4
NP_001163197.1,NM_001169726.2
NP_001163196.1,NM_001169725.2
NP_001027438.1,NM_001032267.1
NP_001163199.1,NM_001169728.2
NP_001163200.1,NM_001169729.2
NP_611355.2,NM_137511.4
NP_725811.1,NM_166300.3
NP_001137700.1,NM_001144228.2
NP_001137701.1,NM_001144229.2
NP_001286582.1,NM_001299653.1
NP_611356.1,NM_137512.3
NP_725812.1,NM_166301.2
NP_725813.1,NM_166302.2
NP_001286584.1,NM_001299655.1
NP_788404.1,NM_176224.3
NP_001286583.1,NM_001299654.1
NP_523786.2,NM_079062.3
NP_001286585.1,NM_001299656.1
NP_001286586.1,NM_001299657.1
NP_788406.2,NM_176226.2
NP_001137702.1,NM_001144230.2
NP_001188968.1,NM_001202039.1
NP_001188969.1,NM_001202040.1
NP_001286587.1,NM_001299658.1
NP_001097370.2,NM_001103900.2
NP_001097369.2,NM_001103899.2
NP_611361.4,NM_137517.5
NP_611359.1,NM_137515.3
NP_611360.1,NM_137516.2
NP_611362.2,NM_137518.3
NP_001286588.1,NM_001299659.1
NP_611363.2,NM_137519.3
NP_001286589.1,NM_001299660.1
NP_788409.1,NM_176229.3
NP_788408.2,NM_176228.3
NP_611364.2,NM_137520.4
NP_001033959.1,NM_001038870.2
NP_611365.2,NM_137521.3
NP_725820.2,NM_166304.3
NP_611370.2,NM_137526.3
NP_001261076.1,NM_001274147.1
NP_001188971.1,NM_001202042.2
NP_001261077.1,NM_001274148.1
NP_001137703.1,NM_001144231.3
NP_001188970.1,NM_001202041.2
NP_001137705.1,NM_001144233.2
NP_001137704.1,NM_001144232.4
NP_611371.1,NM_137527.4
NP_001286590.1,NM_001299661.1
NP_001261078.1,NM_001274149.1
NP_001303357.1,NM_001316428.1
NP_611372.3,NM_137528.5
NP_001036559.2,NM_001043094.2
NP_001036560.1,NM_001043095.3
NP_611373.1,NM_137529.4
NP_001188972.1,NM_001202043.2
NP_725824.1,NM_166306.3
NP_611374.1,NM_137530.2
NP_611375.2,NM_137531.2
NP_725828.1,NM_166308.2
NP_001286591.1,NM_001299662.1
NP_725829.2,NM_166309.1
NP_652038.2,NM_143781.3
NP_611376.1,NM_137532.3
NP_725830.1,NM_166310.2
NP_001097372.1,NM_001103902.1
NP_001097373.1,NM_001103903.2
NP_725831.2,NM_166311.3
NP_652030.3,NM_143773.4
NP_001097371.1,NM_001103901.1
NP_725832.2,NM_166312.3
NP_001188973.1,NM_001202044.2
NP_788412.2,NM_176232.3
NP_001261079.1,NM_001274150.1
NP_611377.1,NM_137533.4
NP_001261080.1,NM_001274151.1
NP_611378.1,NM_137534.2
NP_611379.2,NM_137535.4
NP_611380.1,NM_137536.5
NP_001261081.1,NM_001274152.1
NP_611381.2,NM_137537.4
NP_611382.1,NM_137538.2
NP_611383.1,NM_137539.4
NP_611384.2,NM_137540.3
NP_611385.1,NM_137541.4
NP_788413.4,NM_176233.4
NP_611386.2,NM_137542.4
NP_611387.1,NM_137543.4
NP_001246412.1,NM_001259483.2
NP_001246413.1,NM_001259484.2
NP_001286593.1,NM_001299664.1
NP_001286594.1,NM_001299665.1
NP_001246414.1,NM_001259485.2
NP_476808.1,NM_057460.4
NP_523787.2,NM_079063.4
NP_001246415.1,NM_001259486.1
NP_725839.1,NM_166315.3
NP_001137706.1,NM_001144234.2
NP_725838.1,NM_166314.3
NP_725840.1,NM_166316.3
NP_523788.2,NM_079064.4
NP_001286595.1,NM_001299666.1
NP_725837.1,NM_166313.2
NP_725841.1,NM_166317.2
NP_660193.1,NM_145192.3
NP_001261082.1,NM_001274153.1
NP_001261083.1,NM_001274154.1
NP_611388.1,NM_137544.3
NP_001188974.1,NM_001202045.2
NP_001286596.1,NM_001299667.1
NP_001137707.1,NM_001144235.2
NP_725843.1,NM_166318.2
NP_001286598.1,NM_001299669.1
NP_001286597.1,NM_001299668.1
NP_611390.2,NM_137546.3
NP_001163201.2,NM_001169730.3
NP_001137708.2,NM_001144236.2
NP_523789.3,NM_079065.6
NP_001246416.1,NM_001259487.2
NP_611391.2,NM_137547.2
NP_611393.2,NM_137549.2
NP_725847.1,NM_166320.2
NP_001014534.1,NM_001014534.2
NP_611394.3,NM_137550.3
NP_001356890.1,NM_001369983.1
NP_725849.1,NM_166322.2
NP_725850.1,NM_166323.1
NP_611395.1,NM_137551.3
NP_725851.1,NM_166324.2
NP_001014535.1,NM_001014535.2
NP_001286599.1,NM_001299670.1
NP_001286601.1,NM_001299672.1
NP_001286600.1,NM_001299671.1
NP_523790.1,NM_079066.3
NP_725852.1,NM_166325.2
NP_611396.1,NM_137552.3
NP_001097374.1,NM_001103904.2
NP_725854.1,NM_166327.2
NP_725856.1,NM_166328.3
NP_611397.1,NM_137553.3
NP_001286602.1,NM_001299673.1
NP_725858.1,NM_166330.2
NP_001014536.1,NM_001014536.2
NP_725857.1,NM_166329.2
NP_001014537.1,NM_001014537.3
NP_001137709.1,NM_001144237.2
NP_725859.2,NM_166331.3
NP_001137712.1,NM_001144240.3
NP_001014538.1,NM_001014538.4
NP_001137713.1,NM_001144241.2
NP_725862.1,NM_166334.3
NP_001137711.1,NM_001144239.3
NP_725861.1,NM_166333.3
NP_001137715.1,NM_001144243.3
NP_001401017.1,NM_001414055.1
NP_001401018.1,NM_001414053.1
NP_725860.2,NM_166332.3
NP_001286603.1,NM_001299674.1
NP_001137716.1,NM_001144244.3
NP_001401016.1,NM_001414054.1
NP_001137714.2,NM_001144242.2
NP_001137710.1,NM_001144238.3
NP_611398.2,NM_137554.5
NP_001137717.1,NM_001144245.3
NP_001286604.1,NM_001299675.1
NP_725863.1,NM_166335.3
NP_611399.2,NM_137555.3
NP_001286605.1,NM_001299676.1
NP_001286606.1,NM_001299677.1
NP_611400.1,NM_137556.4
NP_725864.1,NM_166336.2
NP_725865.1,NM_166337.2
NP_001286607.1,NM_001299678.1
NP_523791.2,NM_079067.4
NP_001286608.1,NM_001299679.1
NP_725866.1,NM_166338.3
NP_001286609.1,NM_001299680.1
NP_725867.1,NM_166339.2
NP_995887.1,NM_206165.1
NP_001286610.1,NM_001299681.1
NP_995888.1,NM_206166.2
NP_611401.2,NM_137557.3
NP_001261084.1,NM_001274155.1
NP_536795.1,NM_080534.4
NP_001261085.1,NM_001274156.2
NP_611402.2,NM_137558.3
NP_611403.1,NM_137559.1
NP_611404.1,NM_137560.2
NP_611405.2,NM_137561.2
NP_611406.1,NM_137562.2
NP_523792.2,NM_079068.5
NP_611407.1,NM_137563.4
NP_001261086.1,NM_001274157.1
NP_611408.2,NM_137564.3
NP_001246417.1,NM_001259488.2
NP_001286611.1,NM_001299682.1
NP_611409.2,NM_137565.3
NP_725873.1,NM_166340.3
NP_001097376.1,NM_001103906.3
NP_611410.1,NM_137566.4
NP_001097375.1,NM_001103905.3
NP_001261087.1,NM_001274158.1
NP_725875.3,NM_166341.3
NP_611411.2,NM_137567.3
NP_001033961.2,NM_001038872.2
NP_611412.1,NM_137568.3
NP_001188976.1,NM_001202047.2
NP_611413.2,NM_137569.4
NP_001246418.1,NM_001259489.2
NP_725876.1,NM_166342.2
NP_611414.1,NM_137570.2
NP_001261088.1,NM_001274159.1
NP_611415.2,NM_137571.2
NP_001261089.1,NM_001274160.1
NP_611416.2,NM_137572.4
NP_001163202.2,NM_001169731.2
NP_001261090.1,NM_001274161.1
NP_611417.3,NM_137573.4
NP_611418.1,NM_137574.3
NP_001261091.1,NM_001274162.1
NP_611419.1,NM_137575.2
NP_725881.1,NM_166343.3
NP_725882.1,NM_166344.3
NP_477210.1,NM_057862.5
NP_611420.1,NM_137576.4
NP_001188977.2,NM_001202048.3
NP_001246420.1,NM_001259491.2
NP_001286612.1,NM_001299683.1
NP_001246421.1,NM_001259492.2
NP_725887.2,NM_166348.3
NP_725888.2,NM_166349.3
NP_725886.2,NM_166347.3
NP_476877.1,NM_057529.4
NP_001163205.1,NM_001169734.2
NP_001163206.1,NM_001169735.2
NP_001097377.2,NM_001103907.3
NP_725889.1,NM_166350.2
NP_001369098.1,NM_001382109.1
NP_725890.1,NM_166351.2
NP_001163203.1,NM_001169732.2
NP_001163204.1,NM_001169733.2
NP_001286613.1,NM_001299684.1
NP_001097378.1,NM_001103908.2
NP_477047.1,NM_057699.5
NP_477048.1,NM_057700.4
NP_001137719.2,NM_001144247.3
NP_725891.1,NM_166352.3
NP_001163207.1,NM_001169736.2
NP_523793.2,NM_079069.4
NP_001137718.1,NM_001144246.3
NP_725892.1,NM_166353.3
NP_652610.1,NM_144353.4
NP_001286614.1,NM_001299685.1
NP_477054.1,NM_057706.5
NP_611421.1,NM_137577.3
NP_001286615.1,NM_001299686.1
NP_725894.1,NM_166354.3
NP_523794.1,NM_079070.4
NP_523795.2,NM_079071.3
NP_725896.1,NM_166356.2
NP_611422.2,NM_137578.4
NP_995899.2,NM_206177.3
NP_995900.1,NM_206178.3
NP_995894.2,NM_206172.3
NP_001014542.1,NM_001014542.3
NP_001163210.1,NM_001169739.2
NP_001014540.2,NM_001014540.3
NP_995893.1,NM_206171.4
NP_001014539.1,NM_001014539.3
NP_001163211.1,NM_001169740.2
NP_001163208.1,NM_001169737.2
NP_001163209.1,NM_001169738.2
NP_995901.1,NM_206179.3
NP_611425.1,NM_137581.4
NP_611426.1,NM_137582.3
NP_477420.1,NM_058072.4
NP_001261092.1,NM_001274163.1
NP_611427.1,NM_137583.5
NP_611428.1,NM_137584.3
NP_001286616.1,NM_001299687.1
NP_652364.3,NM_144107.4
NP_001286617.1,NM_001299688.1
NP_611429.1,NM_137585.4
NP_001400982.1,NM_001414062.1
NP_001401019.1,NM_001414063.1
NP_611431.1,NM_137587.1
NP_611432.1,NM_137588.1
NP_001246434.1,NM_001259505.2
NP_001246426.1,NM_001259497.2
NP_001246429.1,NM_001259500.2
NP_001261093.1,NM_001274164.1
NP_001246427.1,NM_001259498.2
NP_001246424.1,NM_001259495.2
NP_725913.2,NM_166368.5
NP_476731.1,NM_057383.7
NP_001246423.1,NM_001259494.2
NP_001246425.1,NM_001259496.2
NP_001246428.1,NM_001259499.2
NP_001027439.2,NM_001032268.3
NP_001246430.1,NM_001259501.2
NP_001027440.1,NM_001032269.3
NP_001246433.1,NM_001259504.2
NP_001246431.1,NM_001259502.2
NP_001036561.1,NM_001043096.2
NP_001246432.1,NM_001259503.2
NP_001261094.1,NM_001274165.1
NP_725914.1,NM_166369.5
NP_725915.2,NM_166370.5
NP_001246435.1,NM_001259506.1
NP_001356904.1,NM_001370015.1
NP_611433.3,NM_137589.4
NP_001188978.1,NM_001202049.2
NP_663311.1,NM_145338.2
NP_001246437.1,NM_001259508.2
NP_611435.1,NM_137591.2
NP_001261095.1,NM_001274166.1
NP_611436.2,NM_137592.2
NP_611437.2,NM_137593.5
NP_001286618.1,NM_001299689.1
NP_611438.1,NM_137594.2
NP_536790.1,NM_080529.4
NP_001261097.1,NM_001274168.2
NP_725919.1,NM_166372.3
NP_001036562.1,NM_001043097.3
NP_001261098.1,NM_001274169.2
NP_611439.2,NM_137595.2
NP_725921.1,NM_166373.4
NP_663310.1,NM_145337.3
NP_001097379.1,NM_001103909.2
NP_611441.1,NM_137597.2
NP_652363.1,NM_144106.2
NP_611442.1,NM_137598.3
NP_611443.1,NM_137599.2
NP_725925.3,NM_166374.4
NP_995902.1,NM_206180.2
NP_001286619.1,NM_001299690.1
NP_611444.2,NM_137600.3
NP_611445.1,NM_137601.4
NP_001286620.1,NM_001299691.1
NP_725926.1,NM_166375.3
NP_611446.3,NM_137602.4
NP_523796.2,NM_079072.2
NP_611447.1,NM_137603.3
NP_995903.1,NM_206181.3
NP_611448.2,NM_137604.2
NP_001188979.1,NM_001202050.1
NP_523797.1,NM_079073.3
NP_001286621.1,NM_001299692.1
NP_001188980.1,NM_001202051.1
NP_725929.1,NM_166376.2
NP_611449.1,NM_137605.3
NP_001303358.1,NM_001316429.1
NP_001188981.1,NM_001202052.2
NP_001246438.1,NM_001259509.4
NP_001246439.1,NM_001259510.3
NP_001188982.1,NM_001202053.3
NP_001261099.1,NM_001274170.2
NP_001163212.1,NM_001169741.3
NP_001246440.1,NM_001259511.2
NP_725930.1,NM_166377.4
NP_611450.1,NM_137606.3
NP_001286622.1,NM_001299693.1
NP_001286623.1,NM_001299694.1
NP_001246442.1,NM_001259513.2
NP_001286624.1,NM_001299695.1
NP_611451.1,NM_137607.5
NP_001246441.1,NM_001259512.2
NP_611452.2,NM_137608.3
NP_001369099.1,NM_001382160.1
NP_476814.1,NM_057466.2
NP_611453.2,NM_137609.3
NP_611455.1,NM_137611.2
