NCBI GeneID,Protein Accession,Protein_length
31591,NP_001162679.1,3541
31591,NP_001162680.1,4979
31591,NP_001188548.1,3329
31591,NP_001188549.1,4862
31591,NP_001259276.1,1826
31591,NP_001259277.1,1709
31591,NP_001259278.1,997
31591,NP_001259279.1,3183
31591,NP_001259280.1,5128
31591,NP_001259281.1,3498
31591,NP_001259282.1,5182
31591,NP_001259283.1,4979
31591,NP_001259284.1,3382
31591,NP_001284946.1,4808
31591,NP_001284947.1,4925
31591,NP_001284948.1,3212
31591,NP_996359.2,211
31597,NP_572332.1,230
31600,NP_572335.1,162
31604,NP_001027048.1,175
31604,NP_001284951.1,175
31604,NP_572338.1,175
31623,NP_572355.1,511
31629,NP_572360.1,933
31630,NP_572361.1,432
31638,NP_727144.1,537
31664,NP_001284978.1,265
31664,NP_572389.1,265
31667,NP_572391.1,622
31674,NP_001284983.1,601
31674,NP_572397.1,601
31686,NP_572406.1,614
31688,NP_572408.2,397
31697,NP_001162693.1,56
31697,NP_001162694.1,56
31697,NP_001284988.1,56
31697,NP_572416.1,56
31697,NP_727209.1,56
31704,NP_001284993.1,1117
31704,NP_572421.1,1117
31705,NP_572422.1,486
31708,NP_001259316.1,300
31708,NP_572425.1,300
31712,NP_572427.1,664
31712,NP_996366.1,646
31721,NP_572433.1,414
31763,NP_001245577.1,1056
31763,NP_572467.1,1056
31764,NP_001245578.1,213
31764,NP_572468.1,213
31780,NP_572480.1,501
31782,NP_572481.1,273
317838,NP_729609.1,573
317846,NP_001189086.1,158
317846,NP_729706.1,158
31785,NP_001188563.1,139
31785,NP_572484.1,500
31786,NP_572485.1,321
317878,NP_001287064.2,615
317878,NP_729938.2,615
317912,NP_001036614.1,356
317996,NP_729346.1,230
318005,NP_729255.2,253
318016,NP_729108.2,349
31803,NP_001259348.1,827
31803,NP_572496.1,827
318031,NP_001137995.1,121
318031,NP_730651.1,238
318031,NP_730652.1,125
31804,NP_001259349.1,250
31804,NP_001259350.1,250
31804,NP_001259351.1,250
31804,NP_001285023.1,250
31804,NP_572497.1,250
318046,NP_728509.1,533
318053,NP_001162786.1,248
318053,NP_001162787.1,134
318053,NP_001285395.1,127
318053,NP_728116.1,491
318053,NP_728117.2,491
318053,NP_728118.2,562
318053,NP_788927.2,562
318066,NP_001036286.1,249
318066,NP_001036287.1,1997
318066,NP_001138224.1,1981
318066,NP_001285513.1,1998
318071,NP_728401.1,262
318096,NP_001259606.1,359
318096,NP_001259607.1,237
318096,NP_727957.1,352
31810,NP_572502.1,478
318107,NP_727778.1,262
318149,NP_727432.1,197
318211,NP_570074.3,377
318213,NP_001036260.3,569
318213,NP_001138151.2,432
318238,NP_001188996.1,556
31839,NP_001138179.1,1305
31839,NP_001138180.1,1227
31839,NP_001245587.1,1338
31839,NP_001245588.1,1358
31839,NP_001285036.1,1210
31839,NP_572525.3,1247
31839,NP_788889.2,1248
31841,NP_572526.1,200
31844,NP_572529.2,1231
31854,NP_001259379.1,219
31854,NP_572534.1,219
31859,NP_001285040.1,500
31859,NP_572539.2,500
318591,NP_001247307.1,424
318591,NP_733127.1,424
31860,NP_727322.1,163
318600,NP_733018.1,791
318604,NP_732958.1,464
318610,NP_732699.1,595
318622,NP_732654.1,940
318626,NP_001287432.1,274
318626,NP_732543.2,274
318645,NP_732260.2,306
318680,NP_731905.1,845
318725,NP_732554.1,393
31873,NP_001285045.1,550
31873,NP_001285046.1,625
31873,NP_001285047.1,651
31873,NP_572549.2,654
31873,NP_727331.1,654
31873,NP_788894.1,625
31880,NP_001188570.1,643
31880,NP_572556.1,663
31881,NP_001285049.1,466
31881,NP_572557.1,466
31887,NP_001096921.1,911
31887,NP_001096922.1,500
31887,NP_001245592.1,523
31887,NP_001259382.1,1052
31887,NP_001285051.1,852
31887,NP_001285052.1,906
31887,NP_727339.3,934
318882,NP_722789.1,264
31890,NP_572562.1,154
318916,NP_001096908.1,696
318916,NP_001096910.1,526
318916,NP_001096911.1,696
318916,NP_001096912.1,696
318916,NP_001259334.1,696
318916,NP_001259335.1,670
318916,NP_001285022.1,550
318916,NP_788885.1,679
318955,NP_724023.1,324
318958,NP_001285904.1,643
318958,NP_723828.1,672
318991,NP_001285858.1,308
318991,NP_723707.1,308
31905,NP_001188572.1,1423
31905,NP_001259385.1,434
31905,NP_572574.2,1426
31905,NP_572575.2,436
319064,NP_001284709.1,148
319064,NP_726539.1,148
31909,NP_001285060.1,742
31909,NP_572577.1,742
31914,NP_001259389.1,397
31914,NP_001356937.1,427
31914,NP_572580.1,397
31914,NP_727362.1,397
31914,NP_727363.1,397
31914,NP_727364.1,348
31915,NP_001245593.1,327
31915,NP_001259390.1,327
31915,NP_001285061.1,327
31915,NP_572581.1,327
31917,NP_572582.1,397
31933,NP_001245596.1,344
31933,NP_001245597.1,195
31933,NP_001285069.1,167
31933,NP_727380.1,349
31933,NP_727381.1,349
31933,NP_727382.1,187
31933,NP_727383.1,364
31934,NP_001096933.1,1099
31934,NP_727386.1,1100
31945,NP_001036266.1,582
31945,NP_001036267.1,431
31945,NP_001285073.1,582
31964,NP_001303555.1,625
31964,NP_001303556.1,625
31964,NP_001401057.1,628
31964,NP_572621.1,625
31965,NP_001356938.1,429
31965,NP_572622.1,429
31971,NP_572627.1,195
31977,NP_001245615.1,581
31977,NP_572632.1,581
31980,NP_001259412.1,377
31980,NP_727428.1,377
31989,NP_572638.1,629
31993,NP_572642.1,197
32000,NP_001259431.1,722
32000,NP_572649.1,722
32005,NP_001259426.1,1122
32005,NP_572648.1,1122
32006,NP_001096945.1,177
32006,NP_001096946.1,177
32006,NP_001096947.1,177
32006,NP_001285089.1,177
32006,NP_572653.1,177
32013,NP_572656.1,243
32016,NP_001285092.1,607
32016,NP_572659.2,607
32021,NP_001285098.1,1288
32021,NP_572663.1,1288
32029,NP_727472.1,214
32032,NP_572673.1,559
32034,NP_001259436.1,369
32034,NP_572675.1,532
32034,NP_727478.1,403
32041,NP_001285107.1,341
32041,NP_572681.1,341
32043,NP_001259438.1,558
32043,NP_572683.1,557
32043,NP_572684.2,558
32055,NP_001259440.1,540
32055,NP_001259441.1,540
32055,NP_001285113.1,602
32055,NP_572692.1,602
32058,NP_572695.2,250
32063,NP_001188578.1,436
32063,NP_001259444.1,439
32063,NP_001285117.1,363
32063,NP_572699.2,746
32063,NP_572700.2,450
32063,NP_727507.2,673
32067,NP_001096949.1,609
32070,NP_572704.1,1712
32073,NP_001245621.1,849
32073,NP_572707.4,849
32079,NP_572712.1,122
32081,NP_001285120.1,88
32081,NP_572713.1,88
32088,NP_001162721.1,773
32088,NP_001162722.1,801
32088,NP_001259450.1,773
32088,NP_572716.3,779
32088,NP_727526.2,807
32090,NP_001259451.1,450
32090,NP_572718.2,837
32090,NP_996409.1,448
32092,NP_572720.2,411
32098,NP_001285126.1,160
32098,NP_001285127.1,160
32098,NP_572726.1,160
32098,NP_727535.1,160
32101,NP_001303568.1,146
32101,NP_572728.1,146
32104,NP_572731.1,664
32108,NP_996412.1,635
32111,NP_001245625.1,1048
32111,NP_001245626.1,944
32111,NP_001245627.1,1047
32111,NP_572735.1,1048
32122,NP_572740.1,619
32127,NP_001096957.1,545
32128,NP_572746.1,251
32135,NP_001285140.1,901
32135,NP_001285141.1,901
32135,NP_572749.2,901
32138,NP_001259464.1,505
32138,NP_572752.1,505
32146,NP_001259467.1,308
32146,NP_572760.1,308
32156,NP_001162727.1,175
32156,NP_001259475.1,339
32156,NP_572770.1,249
32168,NP_572778.1,482
32172,NP_727590.1,536
32174,NP_001285150.1,1552
32180,NP_572788.2,570
32188,NP_572794.1,344
32200,NP_572804.1,699
32201,NP_572805.1,470
32203,NP_001259485.1,195
32203,NP_572807.1,197
32205,NP_001138192.1,630
32205,NP_001259486.1,585
32205,NP_572809.1,615
32233,NP_001259495.1,1526
32233,NP_001259496.1,1526
32233,NP_572834.2,1526
32233,NP_727644.3,1623
32240,NP_572837.1,322
32240,NP_727648.1,294
32241,NP_572838.2,308
32261,NP_001285185.1,309
32261,NP_572855.1,363
32290,NP_001259513.1,787
32290,NP_572878.1,787
32291,NP_511146.2,377
32294,NP_001285208.1,95
32294,NP_572881.1,95
32295,NP_001033841.1,110
32295,NP_572882.1,121
32317,NP_572903.3,249
32320,NP_001285218.1,1384
32320,NP_572906.2,1384
32323,NP_001285220.1,340
32323,NP_572908.2,340
32329,NP_001096975.1,1084
32329,NP_001245655.1,1089
32329,NP_001245656.1,913
32329,NP_001245657.1,748
32329,NP_001285225.1,1890
32329,NP_001285226.1,1889
32329,NP_001285227.1,1694
32329,NP_572914.2,1201
32329,NP_727728.1,937
32329,NP_788899.1,913
32330,NP_572915.1,789
32335,NP_001259531.1,115
32335,NP_572917.1,115
32338,NP_572919.1,384
32374,NP_572948.1,344
32375,NP_511152.2,416
32395,NP_511153.1,167
32399,NP_001285244.1,413
32399,NP_572967.2,413
32408,NP_001162756.1,843
32408,NP_001162757.1,843
32408,NP_572972.1,843
32408,NP_996436.1,843
32415,NP_572978.1,622
32418,NP_572981.1,726
32424,NP_572987.1,626
32434,NP_001285259.1,117
32434,NP_001285260.1,117
32434,NP_572993.1,117
32436,NP_572995.1,480
32439,NP_572998.1,88
32447,NP_001096984.1,1141
32447,NP_001259562.1,968
32447,NP_001285265.1,961
32447,NP_573006.1,955
32482,NP_001259574.1,51
32482,NP_573034.1,513
32482,NP_727861.1,107
32482,NP_727862.1,179
32488,NP_001285275.1,332
32488,NP_573039.1,332
32497,NP_001285280.1,832
32497,NP_996440.2,832
32513,NP_001259579.1,131
32513,NP_573062.1,130
32520,NP_001285295.1,388
32520,NP_573068.3,388
32523,NP_511166.2,362
32524,NP_001096987.2,1383
32525,NP_573072.1,276
32526,NP_788911.2,998
32529,NP_525089.2,225
32529,NP_727895.1,225
32531,NP_511168.3,718
32531,NP_996447.1,718
32540,NP_001285302.1,396
32540,NP_001285303.1,396
32540,NP_573082.1,396
32541,NP_001162763.1,347
32541,NP_573083.2,347
32541,NP_996453.1,347
32548,NP_001162765.1,248
32548,NP_001259587.1,248
32548,NP_573087.1,248
32553,NP_001162770.1,510
32553,NP_573090.3,612
32558,NP_001285310.1,159
32558,NP_573092.1,159
32561,NP_001138200.1,1463
32561,NP_001245704.1,1192
32561,NP_001245705.1,1173
32561,NP_001259590.1,1464
32561,NP_001259591.1,1276
32561,NP_001285311.1,1484
32561,NP_523358.5,1482
32561,NP_996475.2,837
32564,NP_573096.1,421
32568,NP_573099.1,817
32572,NP_573102.1,519
32574,NP_001162771.1,536
32574,NP_001162772.1,564
32574,NP_573104.1,564
32574,NP_996483.2,533
32588,NP_573111.1,412
32588,NP_727947.1,412
32588,NP_727948.1,412
32588,NP_727949.1,375
32594,NP_573116.2,1102
32597,NP_573118.2,681
32599,NP_001259608.1,102
32599,NP_001259609.1,102
326119,NP_001138108.1,699
326119,NP_001356900.1,485
326119,NP_733069.1,400
326131,NP_732175.1,101
326133,NP_732652.1,961
326135,NP_733044.1,394
326144,NP_001097736.1,64
326144,NP_001262449.1,64
326144,NP_731449.1,64
326150,NP_001162879.1,342
326150,NP_001162880.1,342
326150,NP_001162881.1,342
326150,NP_001260075.1,339
326150,NP_608899.1,342
326150,NP_723048.1,342
326150,NP_723049.1,342
326155,NP_001260519.1,1082
326155,NP_001260520.2,1139
326155,NP_724018.1,1082
326161,NP_001286082.1,1213
326161,NP_609930.4,1307
326166,NP_723811.1,380
326171,NP_608895.1,151
326172,NP_608904.1,629
326184,NP_001303410.1,509
326184,NP_001303411.1,509
326184,NP_729555.4,509
326187,NP_001261679.1,535
326187,NP_648394.1,535
326187,NP_729612.1,535
326188,NP_729613.1,524
326192,NP_001246712.1,541
326192,NP_648428.1,541
326197,NP_730291.1,267
326203,NP_729025.1,487
326206,NP_001033989.1,356
326209,NP_729394.1,552
326221,NP_573249.1,645
326229,NP_727460.1,604
326232,NP_001162716.1,530
326232,NP_001259430.1,530
326232,NP_001285086.1,530
326232,NP_727444.1,530
326232,NP_727445.1,530
326232,NP_727446.1,428
326254,NP_788714.1,331
326257,NP_001163706.1,180
326257,NP_788728.1,267
326261,NP_001356884.1,377
326263,NP_787961.1,405
32629,NP_001259623.1,519
32629,NP_001259624.1,508
32629,NP_573135.1,508
32639,NP_573142.1,454
32647,NP_728008.1,251
32649,NP_001285346.1,261
32649,NP_573149.1,261
32650,NP_573150.2,254
32651,NP_573151.1,253
32652,NP_001033850.2,474
32652,NP_001138210.1,518
32652,NP_001138211.1,527
32652,NP_001245718.1,513
32652,NP_001285344.1,523
32652,NP_001285345.1,404
32652,NP_573152.2,479
32652,NP_728012.2,488
32660,NP_001285349.1,874
32660,NP_001285350.1,879
32660,NP_573160.1,879
32662,NP_523379.2,233
32663,NP_573161.1,403
32665,NP_001285353.1,412
32665,NP_573163.1,412
32672,NP_001097004.1,687
32672,NP_001097005.1,732
32672,NP_001259628.1,491
32672,NP_573170.2,777
32672,NP_728029.1,777
32672,NP_728030.2,822
32678,NP_573175.2,238
32678,NP_996493.1,238
32682,NP_001285354.1,495
32682,NP_573179.1,538
32682,NP_728035.1,538
32690,NP_001097008.2,832
32690,NP_001245725.1,834
32690,NP_001259635.1,838
32690,NP_001259636.1,876
32690,NP_001259637.1,860
32690,NP_573187.2,834
32694,NP_573191.1,468
32709,NP_001285367.1,411
32709,NP_573202.1,411
32725,NP_001285372.1,828
32725,NP_573214.1,974
32725,NP_788922.1,975
32726,NP_573215.1,655
32726,NP_788923.1,592
32729,NP_001162780.2,1736
32729,NP_001259643.1,2263
32729,NP_001259644.1,1458
32729,NP_001259645.1,1563
32729,NP_001285373.1,1563
32729,NP_001285374.1,1458
32729,NP_573218.1,1458
32729,NP_788924.2,1458
32737,NP_001138217.1,174
32737,NP_573225.1,320
32742,NP_573230.1,826
32745,NP_573232.1,1105
32748,NP_001285380.1,1359
32748,NP_001285381.1,1558
32748,NP_001285382.1,1031
32748,NP_728092.1,1359
32748,NP_996496.1,1031
32753,NP_573239.1,398
32768,NP_001188665.1,112
32768,NP_001188666.1,112
32768,NP_001188667.1,152
32768,NP_573250.1,162
32770,NP_001259663.1,409
32770,NP_573252.1,409
32778,NP_001285397.1,1000
32778,NP_573259.2,1000
32800,NP_525094.1,149
32803,NP_001027070.1,455
32803,NP_001188669.1,455
32803,NP_001188670.1,455
32803,NP_001259676.1,441
32837,NP_573302.1,250
32851,NP_573314.1,331
32852,NP_573315.1,225
32853,NP_573316.1,686
32861,NP_573321.1,148
32865,NP_001259689.1,146
32865,NP_573323.1,163
32865,NP_728196.1,146
32866,NP_573324.1,474
32880,NP_001259693.1,242
32880,NP_001285416.1,242
32880,NP_573333.2,242
32886,NP_001285418.1,1139
32886,NP_001285419.1,842
32886,NP_573339.1,1150
32888,NP_001097027.1,226
32888,NP_001285421.1,235
32888,NP_573341.1,206
32897,NP_573350.1,128
32902,NP_001285427.1,522
32902,NP_573354.1,522
32918,NP_001259702.1,384
32918,NP_573370.1,384
32932,NP_573383.1,211
32933,NP_001285437.1,1139
32933,NP_728244.1,1139
32943,NP_001285442.1,354
32943,NP_001285443.1,358
32943,NP_608318.5,688
32952,NP_608323.1,713
32954,NP_001245759.1,327
32954,NP_608325.1,327
32962,NP_001259714.1,180
32962,NP_001259715.1,175
32962,NP_001259716.1,175
32962,NP_608331.1,175
32963,NP_001259717.1,387
32963,NP_608332.2,387
32967,NP_608336.1,306
32971,NP_001285454.1,2111
32971,NP_608340.2,2111
32984,NP_608349.1,580
33000,NP_001033855.1,1456
33000,NP_001245771.1,2529
33000,NP_001245772.1,1456
33000,NP_001245773.1,1456
33000,NP_001245774.1,1139
33000,NP_001259736.1,2529
33000,NP_608360.2,2529
33000,NP_728309.1,1280
33010,NP_608369.1,260
33033,NP_608387.1,240
33035,NP_608388.2,4912
33039,NP_608392.1,175
33039,NP_728340.2,175
33043,NP_523422.4,720
33046,NP_728346.2,1192
33051,NP_001259745.1,663
33073,NP_523426.1,259
33074,NP_608418.1,260
33083,NP_001259752.1,399
33083,NP_001259753.1,388
33083,NP_608426.1,414
33083,NP_996523.1,414
33085,NP_001259754.1,208
33085,NP_001259755.1,233
33085,NP_001285509.1,436
33085,NP_608428.1,436
33094,NP_001259756.1,618
33094,NP_608436.4,618
33094,NP_728390.1,618
33094,NP_728391.3,618
33094,NP_728392.2,618
33098,NP_001259757.1,388
33098,NP_001259758.1,233
33098,NP_001259759.1,348
33098,NP_001259760.1,230
33098,NP_001259761.1,283
33098,NP_001259762.1,323
33098,NP_728397.1,388
33098,NP_728398.1,388
33098,NP_728399.1,348
33107,NP_001285515.1,240
33107,NP_001285516.1,182
33107,NP_608449.1,243
33120,NP_523436.1,145
33126,NP_608456.1,563
33137,NP_001097041.2,1846
33137,NP_001285532.1,1334
33137,NP_001285533.1,1413
33137,NP_001285534.1,1146
33137,NP_001285535.1,1700
33137,NP_001285536.1,1687
33137,NP_788950.2,1696
33137,NP_788951.2,1300
33137,NP_788952.2,1416
33137,NP_788953.2,1447
33140,NP_001259780.1,651
33140,NP_608468.1,651
33144,NP_728468.1,486
33158,NP_001097044.2,1890
33158,NP_001097045.1,1040
33158,NP_001245805.1,1562
33158,NP_001245806.1,1790
33158,NP_001245807.1,891
33158,NP_001245808.1,1850
33158,NP_722589.1,1039
33158,NP_722590.2,1998
33165,NP_608489.2,2064
33167,NP_608491.3,649
33170,NP_001033861.1,677
33170,NP_001033862.1,677
33170,NP_001033863.1,144
33170,NP_001033864.1,110
33170,NP_001259798.1,120
33170,NP_608493.2,677
33170,NP_722602.1,677
33170,NP_722603.1,677
33170,NP_722604.1,677
33174,NP_001259799.1,413
33174,NP_001259800.1,416
33174,NP_722609.2,413
33180,NP_001285543.1,347
33180,NP_608501.1,347
33182,NP_523440.1,248
33183,NP_001245817.1,294
33183,NP_608502.1,294
33184,NP_001259806.1,715
33184,NP_001259807.1,715
33184,NP_608503.1,715
33198,NP_001097046.1,247
33198,NP_001245822.2,247
33198,NP_608514.1,248
33198,NP_722622.1,245
33199,NP_001259813.1,505
33199,NP_608515.1,505
33206,NP_608518.1,277
33217,NP_608524.1,549
33236,NP_608535.1,309
33254,NP_608544.1,536
33255,NP_001259843.1,714
33255,NP_608545.1,717
33256,NP_001259844.1,297
33256,NP_608546.1,297
33263,NP_001137763.2,514
33263,NP_001162848.1,673
33263,NP_001162849.1,603
33263,NP_477239.2,517
33263,NP_722660.1,447
33270,NP_001014453.1,1135
33270,NP_001014454.1,628
33270,NP_001014455.1,628
33270,NP_001259850.1,1135
33284,NP_608564.3,570
33284,NP_722676.3,570
33285,NP_001259853.1,1369
33285,NP_608565.1,1369
33290,NP_608570.1,531
33294,NP_608574.2,299
33298,NP_001259857.1,278
33298,NP_608577.2,278
33300,NP_608579.1,587
33304,NP_001259859.1,1004
33304,NP_608582.2,1004
33307,NP_608585.1,427
33312,NP_608590.2,691
33313,NP_001259865.1,665
33313,NP_608591.1,665
33323,NP_608598.1,240
33338,NP_608608.2,916
33339,NP_001259873.1,981
33339,NP_001259874.1,981
33339,NP_001259875.1,982
33339,NP_001285564.1,852
33339,NP_001356952.1,988
33339,NP_001356953.1,1001
33339,NP_001356954.1,1347
33339,NP_608607.2,982
33348,NP_001259878.1,181
33348,NP_608613.1,181
33350,NP_001245840.1,358
33350,NP_001245841.1,272
33350,NP_608615.1,365
33361,NP_001245842.1,1154
33361,NP_722737.3,1155
33361,NP_995611.2,1157
33363,NP_001245843.1,930
33363,NP_001259884.1,966
33363,NP_722738.1,966
33369,NP_001259892.1,245
33369,NP_608632.1,245
33370,NP_608633.1,1023
33405,NP_001259919.1,374
33405,NP_608661.1,374
33407,NP_608662.1,255
33421,NP_001188684.1,335
33421,NP_001259931.1,335
33421,NP_608675.1,335
33429,NP_608682.3,369
33431,NP_001259941.1,487
33431,NP_608684.1,487
3346150,NP_001259682.1,1008
3346150,NP_728174.2,1008
3346188,NP_001014533.1,152
3346206,NP_001014485.3,1064
3346206,NP_001285946.1,1064
3346206,NP_001400995.1,1067
3346221,NP_001014490.1,150
3346221,NP_001188847.1,150
3346222,NP_001014489.1,186
3346222,NP_001188846.1,186
3346226,NP_001014495.1,460
3346235,NP_001014589.1,960
3346235,NP_001034028.2,251
3346235,NP_001163457.1,182
33471,NP_001259964.1,150
33471,NP_608711.3,150
33471,NP_722836.1,126
33476,NP_001097063.1,350
33483,NP_608721.1,343
33484,NP_608722.2,347
33489,NP_722858.1,425
33503,NP_001285571.1,351
33503,NP_608732.1,351
33516,NP_001285573.1,343
33516,NP_001285574.1,343
33516,NP_608741.1,420
33516,NP_722869.1,420
33534,NP_001285578.1,691
33534,NP_608753.2,691
33540,NP_001245853.1,608
33540,NP_608759.2,283
33540,NP_722889.1,609
33540,NP_722890.1,609
33541,NP_608760.2,808
33542,NP_608761.2,469
33544,NP_001259995.1,523
33544,NP_608763.2,523
3354863,NP_001015100.2,767
3354863,NP_001015101.2,767
3354941,NP_001015187.2,780
3354941,NP_001015188.2,780
3354941,NP_001263164.1,780
3354965,NP_001015212.1,421
3354965,NP_001015213.3,421
3354965,NP_001015214.1,421
3354965,NP_001163855.1,421
3354965,NP_001163856.1,421
3354965,NP_001263165.1,421
3355011,NP_001036427.1,296
3355011,NP_001036428.1,477
3355011,NP_001036429.1,430
3355011,NP_001036430.1,473
3355016,NP_001036433.1,95
3355016,NP_001260699.1,95
3355072,NP_001015359.1,1124
3355072,NP_001015360.1,1111
3355072,NP_001104450.2,1111
3355072,NP_001104451.1,1122
3355079,NP_001036640.1,168
3355079,NP_001246897.1,97
3355079,NP_001262239.1,132
3355079,NP_001262240.1,167
3355096,NP_001015387.1,206
3355097,NP_001015386.3,136
3355097,NP_001104334.1,169
3355097,NP_001104335.1,169
3355102,NP_001015389.1,189
3355102,NP_001263160.1,189
3355107,NP_001015401.1,173
3355107,NP_001287641.1,173
3355126,NP_001036396.2,182
3355126,NP_001260692.1,182
3355126,NP_001260693.1,182
3355132,NP_001036466.2,116
3355132,NP_001286137.1,116
3355133,NP_001036454.1,629
3355133,NP_001036455.2,629
3355133,NP_001036456.3,629
3355133,NP_001036457.1,629
3355133,NP_001036458.1,629
3355134,NP_001036462.1,748
3355134,NP_001036463.1,748
3355139,NP_001036448.1,378
3355139,NP_001036449.1,282
3355139,NP_001260701.1,376
3355139,NP_001260702.1,371
3355145,NP_001036460.1,717
3355145,NP_001260704.1,717
3355145,NP_001286136.1,622
3355155,NP_001015476.1,94
3355155,NP_001287638.1,94
3355158,NP_001036323.1,266
3355158,NP_001036324.1,146
3355158,NP_001285541.1,266
3355171,NP_001036320.3,425
3355180,NP_001015502.3,569
33552,NP_001097068.1,1212
33552,NP_001097069.1,1138
33552,NP_001097071.1,1239
33552,NP_001245856.1,804
33552,NP_608770.4,1206
33552,NP_995623.2,1249
33555,NP_523466.2,398
33559,NP_608776.1,416
33562,NP_608779.1,905
33567,NP_001285587.1,663
33567,NP_608782.1,663
33572,NP_722915.1,277
33573,NP_001259998.1,476
33573,NP_608786.2,476
33579,NP_608792.1,405
33592,NP_001285594.1,82
33592,NP_608800.1,82
33626,NP_001097077.1,667
33626,NP_001260015.1,550
33626,NP_001260016.1,662
33626,NP_001400993.1,431
33626,NP_608818.4,667
33626,NP_722961.1,555
33626,NP_722962.1,667
33626,NP_722963.1,667
33626,NP_722964.1,667
33645,NP_608830.3,142
33650,NP_608835.1,439
33653,NP_477228.1,231
33653,NP_477229.3,231
33655,NP_001285603.1,503
33655,NP_608838.1,503
33657,NP_608840.1,346
33667,NP_608848.1,314
33667,NP_723001.1,216
33677,NP_608857.2,456
33677,NP_787976.1,314
33680,NP_608860.1,678
33681,NP_001260047.1,364
33681,NP_608861.2,364
33682,NP_001260048.1,331
33682,NP_608862.1,331
33686,NP_001162874.1,775
33686,NP_001260053.1,653
33686,NP_001260054.1,629
33686,NP_001260055.1,631
33686,NP_608866.1,653
33686,NP_723015.1,653
33686,NP_723016.1,653
33688,NP_523473.2,264
33703,NP_523476.1,247
33712,NP_608885.1,333
33715,NP_001260063.1,302
33715,NP_608887.1,302
33718,NP_608890.1,191
33750,NP_001285615.1,509
33750,NP_001285616.1,441
33750,NP_001285617.1,509
33750,NP_608913.1,509
33751,NP_001036339.1,338
33751,NP_001285618.1,338
33755,NP_608917.3,511
33760,NP_001260094.1,444
33760,NP_608920.1,444
33766,NP_608924.1,593
33775,NP_001285628.1,437
33775,NP_608932.1,437
33776,NP_723086.1,241
33777,NP_608934.1,477
33779,NP_608936.1,243
33783,NP_001245894.1,273
33783,NP_001245895.1,272
33783,NP_001245896.1,266
33783,NP_001245897.1,273
33783,NP_001245898.1,272
33783,NP_001260101.1,273
33783,NP_608938.1,273
33783,NP_723092.1,273
33798,NP_001188702.1,435
33798,NP_001285634.1,412
33798,NP_001285635.1,421
33798,NP_608950.3,438
33805,NP_001260103.1,332
33805,NP_608956.1,332
33806,NP_608957.1,242
33806,NP_723116.1,249
33810,NP_001285637.1,85
33810,NP_001285638.1,751
33810,NP_608961.2,751
33832,NP_608976.1,335
33833,NP_001245904.1,228
33833,NP_608977.1,337
33833,NP_723135.1,222
33838,NP_001097093.1,314
33838,NP_001245911.1,277
33838,NP_001260119.1,275
33840,NP_001260121.1,753
33840,NP_608979.2,944
33840,NP_723142.1,753
33850,NP_001285655.1,487
33850,NP_001285656.1,487
33850,NP_608985.1,487
33850,NP_723150.1,487
33856,NP_608991.2,251
33857,NP_001285661.1,126
33857,NP_608992.1,126
33865,NP_001285665.1,543
33865,NP_608997.3,504
33885,NP_609015.2,424
33886,NP_609016.2,573
33887,NP_609017.2,504
33888,NP_609018.3,292
33889,NP_609019.1,652
33892,NP_609022.1,684
33893,NP_609023.3,655
33899,NP_001260132.1,707
33899,NP_001285672.1,659
33899,NP_609028.2,659
33900,NP_609029.1,489
33900,NP_995637.1,489
33901,NP_001260133.1,433
33901,NP_609030.1,433
33909,NP_609038.1,111
33911,NP_609040.1,419
33914,NP_001285677.1,486
33914,NP_609043.1,486
33920,NP_001285679.1,444
33920,NP_609048.2,444
33920,NP_995638.1,444
33923,NP_001285682.1,940
33923,NP_001285683.1,935
33923,NP_609051.1,935
33925,NP_001097100.1,376
33927,NP_609055.2,692
33932,NP_609060.1,993
33938,NP_001260145.1,235
33938,NP_609063.1,235
33946,NP_609068.2,756
33948,NP_001285688.1,456
33948,NP_609070.1,456
33950,NP_001162896.1,180
33950,NP_001260156.1,834
33950,NP_001260157.1,2851
33950,NP_001260158.1,887
33950,NP_001260159.1,2839
33950,NP_001260160.1,2798
33950,NP_001260161.1,180
33950,NP_609072.2,834
33950,NP_723214.2,2892
33955,NP_001245914.1,338
33955,NP_609075.1,341
33957,NP_001285692.1,746
33957,NP_723223.1,746
33960,NP_609079.2,2096
33963,NP_609081.1,253
33978,NP_001285696.1,323
33978,NP_609089.1,323
33987,NP_609093.1,299
34004,NP_609105.1,745
34017,NP_001260191.1,276
34017,NP_609114.1,276
34018,NP_609115.1,204
34022,NP_609119.2,294
34023,NP_001162901.1,311
34023,NP_001260197.1,311
34023,NP_001260198.1,311
34023,NP_001285710.1,311
34023,NP_609120.1,311
34023,NP_723275.1,311
34023,NP_723276.1,311
34027,NP_001260199.1,219
34027,NP_609122.1,219
34030,NP_001260200.1,2298
34030,NP_001260201.1,2284
34030,NP_001260202.1,2273
34030,NP_001260203.1,2286
34030,NP_001260204.1,2270
34030,NP_001260205.1,2287
34030,NP_001260206.1,2269
34030,NP_001260207.1,2283
34030,NP_609125.4,2272
34035,NP_001260209.1,378
34035,NP_609128.2,378
34041,NP_001260213.1,422
34041,NP_609132.1,422
34049,NP_001285712.1,594
34049,NP_609138.3,594
34055,NP_001285713.1,129
34055,NP_609143.2,129
34062,NP_609148.1,861
34065,NP_609151.2,465
34065,NP_723316.1,465
